Original URL,Link Type,Link Subtype,Links
https://cso.kmi.open.ac.uk/topics/elliptic_curve_cryptography_%28ecc%29,dbpedia,same as,http://dbpedia.org/resource/Elliptic_curve_cryptography
https://cso.kmi.open.ac.uk/topics/elliptic_curve_cryptography_%28ecc%29,other,same as,http://www.wikidata.org/entity/Q1048911
https://cso.kmi.open.ac.uk/topics/elliptic_curve_cryptography_%28ecc%29,other,same as,http://rdf.freebase.com/ns/m.02q7z
https://cso.kmi.open.ac.uk/topics/elliptic_curve_cryptography_%28ecc%29,other,same as,http://yago-knowledge.org/resource/Elliptic_curve_cryptography
https://cso.kmi.open.ac.uk/topics/elliptic_curve_cryptography_%28ecc%29,wikipedia,related link,http://en.wikipedia.org/wiki/Elliptic_curve_cryptography
https://cso.kmi.open.ac.uk/topics/verifiable_secret_sharing,dbpedia,same as,http://dbpedia.org/resource/Secret_sharing
https://cso.kmi.open.ac.uk/topics/verifiable_secret_sharing,other,same as,http://www.wikidata.org/entity/Q1386603
https://cso.kmi.open.ac.uk/topics/verifiable_secret_sharing,other,same as,http://rdf.freebase.com/ns/m.02bxvb
https://cso.kmi.open.ac.uk/topics/verifiable_secret_sharing,other,same as,http://yago-knowledge.org/resource/Threshold_shadow_scheme
https://cso.kmi.open.ac.uk/topics/verifiable_secret_sharing,other,related link,https://academic.microsoft.com/#/detail/85847156
https://cso.kmi.open.ac.uk/topics/verifiable_secret_sharing,wikipedia,related link,http://en.wikipedia.org/wiki/Secret_sharing
https://cso.kmi.open.ac.uk/topics/commerce,other,related link,https://academic.microsoft.com/#/detail/2778353912
https://cso.kmi.open.ac.uk/topics/relay_system,other,related link,https://academic.microsoft.com/#/detail/90224444
https://cso.kmi.open.ac.uk/topics/fibre_technology,dbpedia,same as,http://dbpedia.org/resource/Fiber
https://cso.kmi.open.ac.uk/topics/fibre_technology,other,same as,http://www.wikidata.org/entity/Q161
https://cso.kmi.open.ac.uk/topics/fibre_technology,other,same as,http://rdf.freebase.com/ns/m.011jng
https://cso.kmi.open.ac.uk/topics/fibre_technology,wikipedia,related link,http://en.wikipedia.org/wiki/Fiber
https://cso.kmi.open.ac.uk/topics/collaborative_writing,other,related link,https://academic.microsoft.com/#/detail/2778695844
https://cso.kmi.open.ac.uk/topics/fuzzy_analytic_hierarchy_process,dbpedia,same as,http://dbpedia.org/resource/Analytic_hierarchy_process
https://cso.kmi.open.ac.uk/topics/fuzzy_analytic_hierarchy_process,other,same as,http://www.wikidata.org/entity/Q485202
https://cso.kmi.open.ac.uk/topics/fuzzy_analytic_hierarchy_process,other,same as,http://rdf.freebase.com/ns/m.04lrgq
https://cso.kmi.open.ac.uk/topics/fuzzy_analytic_hierarchy_process,wikipedia,related link,http://en.wikipedia.org/wiki/Analytic_hierarchy_process
https://cso.kmi.open.ac.uk/topics/frequency_bands,other,related link,https://academic.microsoft.com/#/detail/95057307
https://cso.kmi.open.ac.uk/topics/expectation_propagation,other,related link,https://academic.microsoft.com/#/detail/2779363554
https://cso.kmi.open.ac.uk/topics/security_requirements_engineering,dbpedia,same as,http://dbpedia.org/resource/Requirements_analysis
https://cso.kmi.open.ac.uk/topics/security_requirements_engineering,other,same as,http://www.wikidata.org/entity/Q187147
https://cso.kmi.open.ac.uk/topics/security_requirements_engineering,other,same as,http://rdf.freebase.com/ns/m.02l63s
https://cso.kmi.open.ac.uk/topics/security_requirements_engineering,other,same as,http://yago-knowledge.org/resource/Requirements_analysis
https://cso.kmi.open.ac.uk/topics/security_requirements_engineering,wikipedia,related link,http://en.wikipedia.org/wiki/Requirements_analysis
https://cso.kmi.open.ac.uk/topics/computer_games,dbpedia,same as,http://dbpedia.org/resource/PC_game
https://cso.kmi.open.ac.uk/topics/computer_games,other,same as,http://www.wikidata.org/entity/Q4485157
https://cso.kmi.open.ac.uk/topics/computer_games,other,same as,http://rdf.freebase.com/ns/m.04tr8s
https://cso.kmi.open.ac.uk/topics/computer_games,other,same as,http://yago-knowledge.org/resource/PC_game
https://cso.kmi.open.ac.uk/topics/computer_games,wikipedia,related link,http://en.wikipedia.org/wiki/PC_game
https://cso.kmi.open.ac.uk/topics/grassmannian,dbpedia,same as,http://dbpedia.org/resource/Grassmannian
https://cso.kmi.open.ac.uk/topics/grassmannian,other,same as,http://www.wikidata.org/entity/Q129638
https://cso.kmi.open.ac.uk/topics/grassmannian,other,same as,http://rdf.freebase.com/ns/m.020sgw
https://cso.kmi.open.ac.uk/topics/grassmannian,other,same as,http://yago-knowledge.org/resource/Grassmannian
https://cso.kmi.open.ac.uk/topics/grassmannian,other,related link,https://academic.microsoft.com/#/detail/2775884125
https://cso.kmi.open.ac.uk/topics/grassmannian,wikipedia,related link,http://en.wikipedia.org/wiki/Grassmannian
https://cso.kmi.open.ac.uk/topics/distributed_algorithm,dbpedia,same as,http://dbpedia.org/resource/Distributed_algorithm
https://cso.kmi.open.ac.uk/topics/distributed_algorithm,other,same as,http://www.wikidata.org/entity/Q2835898
https://cso.kmi.open.ac.uk/topics/distributed_algorithm,other,same as,http://rdf.freebase.com/ns/m.02vkcm8
https://cso.kmi.open.ac.uk/topics/distributed_algorithm,other,same as,http://yago-knowledge.org/resource/Distributed_algorithm
https://cso.kmi.open.ac.uk/topics/distributed_algorithm,other,related link,https://academic.microsoft.com/#/detail/2780457727
https://cso.kmi.open.ac.uk/topics/distributed_algorithm,wikipedia,related link,http://en.wikipedia.org/wiki/Distributed_algorithm
https://cso.kmi.open.ac.uk/topics/optimization_method,other,related link,https://academic.microsoft.com/#/detail/72089655
https://cso.kmi.open.ac.uk/topics/locally_linear_embedding,dbpedia,same as,http://dbpedia.org/resource/Nonlinear_dimensionality_reduction
https://cso.kmi.open.ac.uk/topics/locally_linear_embedding,other,same as,http://www.wikidata.org/entity/Q7049464
https://cso.kmi.open.ac.uk/topics/locally_linear_embedding,other,same as,http://rdf.freebase.com/ns/m.01sz4s
https://cso.kmi.open.ac.uk/topics/locally_linear_embedding,wikipedia,related link,http://en.wikipedia.org/wiki/Nonlinear_dimensionality_reduction
https://cso.kmi.open.ac.uk/topics/adaptive_cruise_control,dbpedia,same as,http://dbpedia.org/resource/Autonomous_cruise_control_system
https://cso.kmi.open.ac.uk/topics/adaptive_cruise_control,other,same as,http://www.wikidata.org/entity/Q333124
https://cso.kmi.open.ac.uk/topics/adaptive_cruise_control,other,same as,http://rdf.freebase.com/ns/m.026gn_j
https://cso.kmi.open.ac.uk/topics/adaptive_cruise_control,other,same as,http://yago-knowledge.org/resource/Autonomous_cruise_control_system
https://cso.kmi.open.ac.uk/topics/adaptive_cruise_control,other,related link,https://academic.microsoft.com/#/detail/2780150632
https://cso.kmi.open.ac.uk/topics/adaptive_cruise_control,wikipedia,related link,http://en.wikipedia.org/wiki/Autonomous_cruise_control_system
https://cso.kmi.open.ac.uk/topics/preconditioned_conjugate_gradient_method,dbpedia,same as,http://dbpedia.org/resource/Conjugate_gradient_method
https://cso.kmi.open.ac.uk/topics/preconditioned_conjugate_gradient_method,other,same as,http://www.wikidata.org/entity/Q1191895
https://cso.kmi.open.ac.uk/topics/preconditioned_conjugate_gradient_method,other,same as,http://rdf.freebase.com/ns/m.052fr3
https://cso.kmi.open.ac.uk/topics/preconditioned_conjugate_gradient_method,other,same as,http://yago-knowledge.org/resource/Conjugate_gradient_method
https://cso.kmi.open.ac.uk/topics/preconditioned_conjugate_gradient_method,wikipedia,related link,http://en.wikipedia.org/wiki/Conjugate_gradient_method
https://cso.kmi.open.ac.uk/topics/bit-rate_reduction,dbpedia,same as,http://dbpedia.org/resource/Data_compression
https://cso.kmi.open.ac.uk/topics/bit-rate_reduction,other,same as,http://www.wikidata.org/entity/Q2493
https://cso.kmi.open.ac.uk/topics/bit-rate_reduction,other,same as,http://rdf.freebase.com/ns/m.0279m
https://cso.kmi.open.ac.uk/topics/bit-rate_reduction,other,same as,http://yago-knowledge.org/resource/Data_compression
https://cso.kmi.open.ac.uk/topics/bit-rate_reduction,wikipedia,related link,http://en.wikipedia.org/wiki/Data_compression
