Parent URL,Type,Tool URL,German Parent URL,German Tool URL
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/LMule,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/CoDeeN,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/JXTA,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,http://de.dbpedia.org/resource/JXTA
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/ZeroTier__One__1,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/Popcorn_Time,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/Spread_Toolkit,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/I2P,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,http://de.dbpedia.org/resource/I2P
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/IMesh,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/Solipsis,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,
http://dbpedia.org/resource/Peer-to-peer,Tool,http://dbpedia.org/resource/Tailscale__Tailscale__1,http://de.dbpedia.org/resource/Kategorie:Peer-to-Peer,
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/UMBEL,http://de.dbpedia.org/resource/Kategorie:Künstliche_Intelligenz,
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Deeplearning4j,http://de.dbpedia.org/resource/Kategorie:Künstliche_Intelligenz,
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Horovod_(machine_learning),http://de.dbpedia.org/resource/Kategorie:Künstliche_Intelligenz,
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Megvii,http://de.dbpedia.org/resource/Kategorie:Künstliche_Intelligenz,
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Modular_Audio_Recognition_Framework,http://de.dbpedia.org/resource/Kategorie:Künstliche_Intelligenz,http://de.dbpedia.org/resource/Modular_Audio_Recognition_Framework
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Zo_(bot),http://de.dbpedia.org/resource/Kategorie:Künstliche_Intelligenz,
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Bruno_Sartori,http://de.dbpedia.org/resource/Kategorie:Künstliche_Intelligenz,
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Celia_(virtual_assistant),http://de.dbpedia.org/resource/Kategorie:Künstliche_Intelligenz,
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/ADS-AC,http://de.dbpedia.org/resource/Kategorie:Künstliche_Intelligenz,
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Afiniti,http://de.dbpedia.org/resource/Kategorie:Künstliche_Intelligenz,
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Tay_(bot),http://de.dbpedia.org/resource/Kategorie:Künstliche_Intelligenz,
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Open_Neural_Network_Exchange,http://de.dbpedia.org/resource/Kategorie:Künstliche_Intelligenz,
http://dbpedia.org/resource/Artificial_intelligence,Tool,http://dbpedia.org/resource/Your.MD,http://de.dbpedia.org/resource/Kategorie:Künstliche_Intelligenz,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/CaBIG,http://de.dbpedia.org/resource/Kategorie:Webservice,http://de.dbpedia.org/resource/Cancer_Biomedical_Informatics_Grid
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Fuse_Mediation_Router,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/CaBIG__caGrid__1,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Apache_Axis,http://de.dbpedia.org/resource/Kategorie:Webservice,http://de.dbpedia.org/resource/Apache_Axis
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Apache_Axis2,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Fuse_Services_Framework,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Eclipse_Metro,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Hessian_(Web_service_protocol),http://de.dbpedia.org/resource/Kategorie:Webservice,http://de.dbpedia.org/resource/Hessian_(Webprotokoll)
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Karelia_Watson,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/IBM_cloud_computing,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Open_Build_Service,http://de.dbpedia.org/resource/Kategorie:Webservice,http://de.dbpedia.org/resource/Open_Build_Service
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Oracle_Cloud,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Web_service,Tool,http://dbpedia.org/resource/Microsoft_Azure__Microsoft_Azure__1,http://de.dbpedia.org/resource/Kategorie:Webservice,
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/MediaLib,http://de.dbpedia.org/resource/Kategorie:Multimedia,
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/QuarkImmedia,http://de.dbpedia.org/resource/Kategorie:Multimedia,http://de.dbpedia.org/resource/QuarkImmedia
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/Lightspark,http://de.dbpedia.org/resource/Kategorie:Multimedia,http://de.dbpedia.org/resource/Lightspark
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/MKVToolNix,http://de.dbpedia.org/resource/Kategorie:Multimedia,http://de.dbpedia.org/resource/MKVToolNix
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/Snow_(app),http://de.dbpedia.org/resource/Kategorie:Multimedia,
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/Adobe_Scout,http://de.dbpedia.org/resource/Kategorie:Multimedia,
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/Allegro_(software_library),http://de.dbpedia.org/resource/Kategorie:Multimedia,
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/DIPS_(Digital_Image_Processing_with_Sound),http://de.dbpedia.org/resource/Kategorie:Multimedia,
http://dbpedia.org/resource/Multimedia,Tool,http://dbpedia.org/resource/Echo_Lake_(software),http://de.dbpedia.org/resource/Kategorie:Multimedia,
