Parent URL,Type,Tool URL
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Mailsite
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Skype_for_Business_Server
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Slack_(software)
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Colligo_Contributor
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Zarafa_(software)
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Zimbra
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Zulip
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Trello
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Adobe_Connect
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Adobe_LiveCycle
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Cyn.in
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Figma_(software)
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Central_Desktop
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Flock_(messaging_service)
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/GroupWise
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/HCL_Domino
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/HeySpace
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Telligent_Community
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/HyperOffice
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Lark_(software)
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Tables_(Google)
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Taskworld
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Kolab
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Kopano_(software)
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Microsoft_Exchange_Server
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Microsoft_InfoPath
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Microsoft_SharePoint_Workspace
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Microsoft_Teams
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Oracle_Intelligent_Advisor
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Workfront
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Workplace_(software)
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Oracle_Beehive
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/IBM_Notes_Traveler
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/IMeet
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/PocketGenie
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Fle3
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Telligent_Systems__Telligent_Analytics__1
http://dbpedia.org/resource/Collaborative_software,Tool,http://dbpedia.org/resource/Google_Forms__Google_Forms__1
http://dbpedia.org/resource/Electronic_health_record,Tool,http://dbpedia.org/resource/OpenMRS
http://dbpedia.org/resource/Hypermedia,Tool,http://dbpedia.org/resource/HyperCard
http://dbpedia.org/resource/Hypermedia,Tool,http://dbpedia.org/resource/Oracle_Media_Objects
http://dbpedia.org/resource/Hypermedia,Tool,http://dbpedia.org/resource/SuperCard
http://dbpedia.org/resource/Graphical_user_interface_testing,Tool,http://dbpedia.org/resource/Squish_(Froglogic)
http://dbpedia.org/resource/Network_security,Tool,http://dbpedia.org/resource/Nmap
http://dbpedia.org/resource/Network_security,Tool,http://dbpedia.org/resource/ArpON
http://dbpedia.org/resource/Network_security,Tool,http://dbpedia.org/resource/Einstein_(US-CERT_program)
http://dbpedia.org/resource/Web_search_engine,Tool,http://dbpedia.org/resource/AppleSearch
http://dbpedia.org/resource/Web_search_engine,Tool,http://dbpedia.org/resource/SWISH-E
http://dbpedia.org/resource/Web_search_engine,Tool,http://dbpedia.org/resource/Petal_Search
http://dbpedia.org/resource/Web_search_engine,Tool,http://dbpedia.org/resource/Bing_Shopping
http://dbpedia.org/resource/Web_search_engine,Tool,http://dbpedia.org/resource/Bing_xRank
http://dbpedia.org/resource/Web_search_engine,Tool,http://dbpedia.org/resource/Trip_(search_engine)
http://dbpedia.org/resource/Web_search_engine,Tool,http://dbpedia.org/resource/Gigablast__gb__1
http://dbpedia.org/resource/Web_search_engine,Tool,http://dbpedia.org/resource/OpenSearchServer
http://dbpedia.org/resource/Web_search_engine,Tool,http://dbpedia.org/resource/Searchdaimon
http://dbpedia.org/resource/Web_search_engine,Tool,http://dbpedia.org/resource/Searchmedica
http://dbpedia.org/resource/Web_search_engine,Tool,http://dbpedia.org/resource/YaCy
http://dbpedia.org/resource/Web_search_engine,Tool,http://dbpedia.org/resource/Sesam_(search_engine)
http://dbpedia.org/resource/Web_search_engine,Tool,http://dbpedia.org/resource/Sherlock_(software)
http://dbpedia.org/resource/Web_search_engine,Tool,http://dbpedia.org/resource/Live_Search_Academic
http://dbpedia.org/resource/Web_search_engine,Tool,http://dbpedia.org/resource/Live_Search_Books
http://dbpedia.org/resource/Web_search_engine,Tool,http://dbpedia.org/resource/StrangeSearch
http://dbpedia.org/resource/User_interface,Tool,http://dbpedia.org/resource/GPE_Palmtop_Environment
http://dbpedia.org/resource/User_interface,Tool,http://dbpedia.org/resource/PDCurses
http://dbpedia.org/resource/User_interface,Tool,http://dbpedia.org/resource/Spectasia
http://dbpedia.org/resource/Network_packet,Tool,http://dbpedia.org/resource/Express_Data_Path
http://dbpedia.org/resource/Network_packet,Tool,http://dbpedia.org/resource/Iptables
http://dbpedia.org/resource/Cluster_analysis,Tool,http://dbpedia.org/resource/Carrot2
http://dbpedia.org/resource/Parsing,Tool,http://dbpedia.org/resource/Jsoup
http://dbpedia.org/resource/Firewall_(computing),Tool,http://dbpedia.org/resource/Little_Snitch
http://dbpedia.org/resource/Firewall_(computing),Tool,http://dbpedia.org/resource/PeerBlock
http://dbpedia.org/resource/Firewall_(computing),Tool,http://dbpedia.org/resource/PeerGuardian
